3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
oink .,aygay .,hey you boys can both be in baseball jammies tonight okay .,give me a kiss .,Daniel .,okay .,did you ever see llamas eating their pajamas down by the bay .,that's a fast car huh .,okay .,I think they they've done well in everything other than that .,but the play dough is sticking isn't it .,oh Stan Minnesota and Purdue .,and now what are you doing .,so what should we play with today .,I might just decide to hitch a ride to the hospital with .,it might put sugar in the food and it doesn't need sugar .,oh that would make a very nice bed .,oh .,okay she's making it morning now taking all the nighttime things off .,down .,the part of the what .,did you give the poor kid a knuckle sandwich .,you all keep score .,and that's all you like about the whole program .,you can already read a little bit can't cha .,I point that's the gooey one .,which green lid Laura .
oh what do you think .,yay .,did you get some carrot in your mouth .,eye .,Maggie .,Dada will pick ya up when he comes home .,just like .,here you go .,and I found a friend I could talk to .,shall I turn off the light .,oh that's nice you're .,that kitten is not going to cooperate .,do you know what's happening on this page .,I don't know .,I'm not going to put a dress on you any more .,I'm just going to leave them there .,no .,what .,oh the wood cabin .,put the a over here .,let's lemme take it apart for you .,and nitrogen is in the air too nitrogen .,I can't hear ya .,uh huh .,no .,like this .,what is fun .
you got it .,ah oh he's such a big boy .,there it goes .,no let's not put it over the side .,you wanna see .,bowwow where .,did you hear it .,who wears .,there .,see the brown one .,stop .,don't be so rough .,okay .,you saw your dinosaur while you were flying in the sky .,that's a horse .,maybe we could go help dome people .,oh boy .,what would you do if a giant put you in his pocket .,we can throw it out if you don't want it .,who starts it .,California .,good because if you did what would happen .,that's Colossus .,and closed the door and that's all .,there was a skunk at church .,how do I know .,is that what you're trying to do .
you better learn to hang on to your toys real well .,yeah .,guess Big bird's a boy huh .,put everything in the box .,oh my .,mhm .,oh .,you wanna sit on it .,okay .,you don't wanna go .,Auntie Marion's dog .,Daddy says that when he's being the spickie sparrow .,that's like the little car Seth has huh .,mountain .,a cold is blood .,hi Troy .,okay .,come here .,that was pretty cool .,yeah you know .,yeah .,wanna know what the very first thing was according to scientists .,who else was down there .,why .,well you'll hafta learn that .,in you get .,where .
is that fun .,what are you talking about .,turning .,Mama .,oh .,where's the duck June .,where's the moon .,what do you think about that pumpkin .,she dangled there wondering where is my .,that's Dingo's car .,what can we bake it in .,it moves .,you're sposta show me .,right .,what is .,a hundred dollars just for that .,what was I worried about with you doing gymnastics though remember .,sing that you know the Christmas song .,what do they call the man that swings a way up high in the air .,she should be more careful right .,here are the sliding stairs .,oh in the in the bus .,the fourth letter hasta be the f doesn't it .,very good .,where .,the movie about a horse .,that's a tape recorder .
I'm sorry that's handsome baby boy .,okay .,you can't reach sitting .,elbow elbow .,hihuh .,yes .,oh thank you that is yucky .,okay .,brown .,no you wanna stay in here .,wow she's got a big shovel .,remember the singing and the dancing .,you do .,go to the back door .,oh .,that's pretty weird .,no wait a minute .,she's getting too big .,I'm glad you like it .,how're you gonna do that .,two oh dear .,Daddy why do we use so many words in this house .,is that itchy something .,she sleeps .,yeh .,now I'm gonna break my cookie into two pieces .,mhm .
there he is .,what's this .,let's see if I've made you something .,do you see Big Bird .,stop it .,I'm gonna throw it back to you .,somebody might try to call us .,let her do it .,anyone going to go for a ride .,okay so this is what you do .,oh yeah it's some face paint .,oh .,that's not a very good choice William .,Minnie wait cried Moo .,well can I go now please please please .,I must have missed that part .,we won't make that .,she can put an outfit on her I think think at four o'clock in the morning .,no more slave states that's right he said no more slave states that's right .,one long one .,it must be awful lonely .,can you find any more socks anywhere .,oh .,what's he going to do tell me the whole story everything .,oh well is there something else you'd like to learn at first grade .,let's use some water .,can see .
you wanna hold it like that .,you see the baby .,whatcha doing .,a leopard .,you want play horsie .,I'm gonna shut it off okay .,come on .,can you say .,oh there's all the tractor pieces .,a duck .,I'm gonna turn that off because it's not doing any good .,okay kook .,let's see .,remember you have that book called big red barn .,oh no those are his .,oh you put it back in .,I like it .,okay .,what have you been doing all day .,you're sposta put it in another block not in the same block .,yeah but you maybe want more .,Marky said .,so he just likes all kinds of junk .,what did Madaline do .,toy gerbil .,do we have a rough cloth anywhere .,uhuh .
so messy .,he doesn't go back up anymore .,okay dear .,there's the yellow .,do ya have a sock on .,Pooh Bear .,Bert .,hippo .,and ears too .,so I'm gonna put the ribbon there and I'm gonna write for Griz .,yeah .,okay here's some more .,I think it's meant to be a pretend thermometer isn't it .,you want this big one .,maybe Paul took it .,and Laurie .,isn't that funny .,I don't think you'd like for Rinny to bite you .,what would have happened if they hadn't invented houses .,some more .,two tickets for the Red Sox game .,what did they hafta erupt for .,it makes him look like a man .,is it because she's a baby dog .,you don't know why .,we're just making it the same level as each cup .,you can play with it on our bed now .
still wanna see if it fits in your mouth .,you can hold the birdie .,you put it in .,it's Big bird .,you wanna find the owl in the book .,what's the baby doing .,alright .,Peter that wasn't very nice was it .,huh .,we are .,Daddy thought that we might ride our bikes over on Sunday and eat breakfast at Al's and then go to your school and let you play .,of this .,let's put this one back .,did you go to dancing school .,I will try to fly .,ours doesn't work like that though right .,what is that .,like what .,you have that yogurt dressing remember .,there .,yeh .,how do all those socks get in the wash .,do you remember what happened at the end of that day when we left six flags .,with a .,you put me in a hole didn't you .,yeah but I have .,well .
